x,y,unixtime
43.35285,46.381519,1520904088
43.36565,46.328599,1520904089
43.446388,45.994829,1520904090
43.485248,45.834181,1520904091
43.539103,45.611541,1520904092
43.605211,45.33825,1520904093
43.664826,45.091797,1520904094
43.723619,44.848746,1520904095
43.781406,44.609853,1520904096
43.842851,44.35584,1520904097
43.908958,44.082549,1520904098
43.962082,43.862933,1520904099
44.028281,43.589265,1520904100
44.082228,43.366247,1520904101
44.160222,43.043817,1520904102
44.20146,42.873341,1520904103
44.281374,42.542972,1520904104
44.322611,42.372496,1520904105
44.406549,42.025496,1520904106
44.441203,41.882236,1520904107
44.525323,41.53448,1520904108
44.561074,41.386684,1520904109
44.649218,41.022296,1520904110
44.680306,40.893777,1520904111
44.77485,40.50293,1520904112
44.800452,40.397091,1520904113
44.892984,40.014559,1520904114
44.919683,39.904185,1520904115
45.018707,39.494815,1520904116
45.039829,39.407498,1520904117
45.137939,39.001909,1520904118
45.158969,38.91497,1520904119
45.2654,38.474983,1520904120
45.279298,38.417528,1520904121
45.386917,37.972627,1520904122
45.398712,37.923865,1520904123
45.516389,37.437385,1520904124
45.518492,37.428691,1520904125
45.637724,36.935785,1520904126
45.639552,36.928225,1520904127
45.757961,36.43872,1520904128
45.767379,36.399787,1520904129
45.879113,35.937876,1520904130
45.889079,35.896675,1520904131
45.997521,35.448372,1520904132
46.014802,35.376931,1520904133
46.116478,34.956599,1520904134
46.145829,34.835263,1520904135
46.236807,34.459157,1520904136
46.264969,34.342734,1520904137
46.356679,33.963605,1520904138
46.399653,33.785947,1520904139
46.476093,33.469942,1520904140
46.518336,33.295308,1520904141
46.596147,32.973634,1520904142
46.648357,32.757799,1520904143
46.715288,32.481106,1520904144
46.770332,32.253552,1520904145
46.835342,31.984797,1520904146
46.899804,31.718311,1520904147
46.956676,31.483197,1520904148
47.031653,31.173241,1520904149
47.074719,30.995205,1520904150
47.151708,30.676932,1520904151
47.195688,30.495117,1520904152
47.285752,30.122791,1520904153
47.314371,30.004478,1520904154
47.410286,29.607961,1520904155
47.434974,29.505902,1520904156
47.541405,29.065915,1520904157
47.553383,29.016397,1520904158
47.667859,28.543147,1520904159
47.673346,28.520467,1520904160
47.788005,28.046461,1520904161
47.792668,28.027183,1520904162
47.912631,27.531253,1520904163
47.921775,27.493453,1520904164
48.031863,27.038346,1520904165
48.051979,26.955187,1520904166
48.151917,26.542038,1520904167
48.175782,26.443381,1520904168
48.272246,26.044596,1520904169
48.305071,25.908895,1520904170
48.391203,25.552823,1520904171
48.42796,25.400869,1520904172
48.511349,25.056137,1520904173
48.556152,24.870919,1520904174
48.632226,24.556427,1520904175
48.690014,24.317533,1520904176
